구분,국립공원관리번호,공원사무소코드,분류코드,일련번호,시작점_ID,종점_ID,사용여부,지리정보시스템 상 거리(m),난이도,쉐입거리(Shape_Leng),경도,위도
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9793894,35.07664479
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9792282,35.07635353
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9791666,35.07622318
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9791373,35.07613746
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9791329,35.07605678
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9791029,35.07600044
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9789968,35.07589433
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9789093,35.07574956
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9788498,35.07564652
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9786836,35.07539969
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9786535,35.0753146
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9786543,35.07521013
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9786902,35.07497912
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9787017,35.07485536
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.978711,35.07469122
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9786796,35.07452762
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9786523,35.07443703
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9786531,35.07435798
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9787091,35.07421765
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9787249,35.07409606
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9787177,35.07397004
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9787142,35.0738535
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9787357,35.07375958
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9787859,35.0736535
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9788017,35.07353407
2245,21000000000,2101,501,2,0,0,1,1985.781454,0,0.018526083,126.9787853,35.07346718
